Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
Male,56.0,4.0,0.0,4.0,0,0,40282.42,1
Female,28.0,8.0,67408.01,4.0,0,0,27333.51,0
Female,47.0,6.0,1154.97,1.0,0,0,99514.91,1
Male,42.0,1.0,0.0,2.0,0,0,146588.22,0
Male,64.0,3.0,77109.94,4.0,0,0,131792.25,0
Male,26.0,7.0,0.0,4.0,0,0,70104.15,1
Male,19.0,4.0,48964.07,3.0,0,0,128315.34,1
Male,34.0,4.0,37264.98,2.0,0,0,47032.42,0
Female,46.0,2.0,155251.43,2.0,0,0,97727.0,0
Male,25.0,7.0,104646.02,4.0,0,0,117151.61,0
Female,41.0,10.0,193085.81,4.0,0,0,58515.56,1
Male,42.0,7.0,0.0,4.0,0,0,21830.38,1
Male,25.0,3.0,0.0,1.0,0,0,104640.01,0
Male,26.0,8.0,0.0,4.0,0,0,106949.36,1
Male,-5.0,8.0,0.0,1.0,0,0,146322.57,1
Male,22.0,10.0,47961.0,3.0,0,0,112386.18,1
Female,30.0,3.0,0.0,1.0,0,0,86114.19,0
Male,40.0,7.0,0.0,1.0,0,0,30007.39,1
Female,39.0,2.0,125246.46,1.0,0,0,79349.49,0
Female,37.0,10.0,0.0,3.0,0,0,55377.19,1
Male,69.0,9.0,61651.47,4.0,0,0,83027.9,0
Male,59.0,8.0,188639.03,4.0,0,0,111392.46,0
Female,120.0,10.0,192527.01,3.0,0,0,59114.18,1
Female,34.0,1.0,195346.38,2.0,0,0,64859.26,0
Female,19.0,5.0,98401.1,2.0,0,0,107377.62,0
Male,34.0,6.0,74188.84,2.0,0,0,89650.71,1
Male,50.0,9.0,64835.23,4.0,0,0,96816.08,0
Female,36.0,10.0,0.0,4.0,0,0,42667.64,1
Male,56.0,2.0,0.0,4.0,0,0,47179.31,1
Male,59.0,3.0,46481.45,2.0,0,0,87162.67,1
Female,18.0,5.0,0.0,3.0,0,0,65397.24,0
Male,20.0,4.0,177530.2,1.0,0,0,30938.2,1
Female,55.0,8.0,0.0,10.0,0,0,106255.23,1
Female,63.0,2.0,0.0,4.0,0,0,42870.28,1
Female,31.0,5.0,36585.72,4.0,0,0,113722.19,1
Male,65.0,3.0,127630.19,2.0,0,0,147256.07,0
Female,25.0,2.0,0.0,4.0,0,0,132341.78,0
Male,65.0,3.0,114828.84,1.0,0,0,149291.57,1
Female,63.0,5.0,176815.31,1.0,0,0,62997.54,0
Male,48.0,3.0,196085.99,3.0,0,0,44818.43,1
Female,20.0,2.0,0.0,2.0,0,0,94107.95,1
Female,49.0,6.0,0.0,3.0,0,0,61931.6,0
Female,26.0,6.0,0.0,2.0,0,0,125314.74,0
Male,30.0,10.0,2031.79,1.0,0,0,29222.32,1
Male,31.0,3.0,68261.04,2.0,0,0,95176.42,0
Male,42.0,10.0,0.0,2.0,0,0,-50000.0,1
Female,23.0,6.0,0.0,1.0,0,0,55300.58,1
Male,56.0,4.0,168562.59,4.0,0,0,110936.59,1
Male,33.0,2.0,103743.77,3.0,0,0,55208.19,0
Male,43.0,5.0,37682.4,3.0,0,0,109504.99,1
Female,18.0,2.0,48717.68,4.0,0,0,141499.82,0
Female,56.0,5.0,0.0,3.0,0,0,66276.45,0
Female,46.0,5.0,19737.24,2.0,0,0,42792.94,1
Female,43.0,5.0,0.0,2.0,0,0,71805.62,0
Male,22.0,4.0,0.0,2.0,0,0,85407.71,0
Female,22.0,4.0,123554.38,3.0,0,0,132735.86,0
Female,37.0,8.0,0.0,4.0,0,0,125456.54,0
Male,29.0,3.0,164264.94,2.0,0,0,55614.95,0
Female,63.0,2.0,8753.66,3.0,0,0,105243.94,1
Male,27.0,10.0,0.0,1.0,0,0,110075.75,1
Male,28.0,8.0,0.0,1.0,0,0,43067.14,0
Male,52.0,1.0,146597.9,2.0,0,0,95470.72,0
Male,49.0,5.0,0.0,1.0,0,0,50970.7,1
Female,66.0,4.0,165465.04,1.0,0,0,70596.22,1
Female,58.0,3.0,0.0,4.0,0,0,143578.93,1
Female,64.0,5.0,19249.13,1.0,0,0,47654.63,0
Male,33.0,9.0,0.0,2.0,0,0,149471.06,1
Female,52.0,7.0,0.0,2.0,0,0,109443.9,0
Male,34.0,6.0,0.0,4.0,0,0,126841.81,1
Male,22.0,5.0,47412.39,4.0,0,0,134446.8,1
Male,24.0,9.0,118785.86,2.0,0,0,82616.71,1
Female,56.0,10.0,0.0,2.0,0,0,21475.97,1
Female,37.0,8.0,0.0,3.0,0,0,95837.94,0
Female,66.0,9.0,173851.23,1.0,0,0,21580.08,0
Male,64.0,5.0,0.0,3.0,0,0,52888.72,0
Male,35.0,9.0,0.0,3.0,0,0,110600.26,1
Female,40.0,9.0,183135.61,4.0,0,0,71287.83,1
Male,70.0,8.0,34766.3,2.0,0,0,49821.32,1
Female,54.0,9.0,72613.01814115308,2.0,0,0,56369.26,1
Female,30.0,3.0,164684.91,3.0,0,0,99743.98,0
Female,47.0,2.0,0.0,3.0,0,0,121088.3,1
Male,64.0,1.0,75971.06,3.0,0,0,127791.35,0
Female,50.0,2.0,0.0,1.0,0,0,29796.68,0
Male,22.0,5.0,0.0,3.0,0,0,142819.54,0
Male,34.0,5.0,90658.28,1.0,0,0,98802.7,1
Female,66.0,8.0,124007.52,3.0,0,0,107304.52,1
Female,20.0,2.0,170584.12,4.0,0,0,133964.97,0
Female,65.0,7.0,0.0,2.0,0,0,47685.34,1
Female,51.0,6.0,122009.48,2.0,0,0,31830.27,0
Male,55.0,1.0,156946.95,2.0,0,0,132107.28,0
Male,21.0,10.0,185390.94,1.0,0,0,79687.65,0
Female,70.0,2.0,0.0,3.0,0,0,29862.23,1
Male,33.0,6.0,139835.85,4.0,0,0,73515.96,0
Male,44.0,2.0,0.0,3.0,0,0,64860.74,1
Male,39.0,5.0,0.0,1.0,0,0,136248.24,1
Male,43.0,9.0,0.0,1.0,0,0,86515.41,1
Male,65.0,1.0,0.0,4.0,0,0,43987.73,1
Female,39.0,10.0,152231.13,4.0,0,0,28104.38,1
Male,68.0,7.0,0.0,2.0,0,0,23961.38,0
Female,55.0,3.0,80035.6,1.0,0,0,43696.9,1
Female,34.0,7.0,18751.66,4.0,0,0,64580.49,1
Female,27.0,3.0,130115.75,3.0,0,0,115786.92,0
Female,57.0,1.0,113327.25,1.0,0,0,136954.16,0
Male,62.0,6.0,0.0,1.0,0,0,39871.69,1
Male,21.0,8.0,0.0,3.0,0,0,73351.59,0
Female,48.0,6.0,80173.26,3.0,0,0,126219.37,1
Female,55.0,3.0,164351.43,3.0,0,0,81960.53,0
Male,22.0,6.0,193630.82,3.0,0,0,115712.13,1
Female,18.0,10.0,153788.12,1.0,0,0,141161.86,1
Female,20.0,1.0,74476.87,2.0,0,0,91359.86,1
Male,57.0,2.0,0.0,1.0,0,0,35170.49,1
Female,55.0,7.0,0.0,1.0,0,0,116976.69,1
Male,70.0,8.0,198194.97,4.0,0,0,140438.43,0
Female,46.0,8.0,0.0,2.0,0,0,127267.25,1
Male,36.0,10.0,0.0,1.0,0,0,108787.67,1
Male,57.0,3.0,0.0,3.0,0,0,95073.22,1
Female,64.0,7.0,0.0,4.0,0,0,90570.41,1
Male,20.0,7.0,146379.28,4.0,0,0,134221.78,1
Male,47.0,7.0,0.0,2.0,0,0,111907.46,1
Female,50.0,4.0,114408.05,1.0,0,0,64470.63,0
Male,48.0,4.0,91943.04,4.0,0,0,90181.88,0
Male,21.0,2.0,0.0,3.0,0,0,113103.28,0
Female,37.0,10.0,69162.33,4.0,0,0,57430.85,0
Female,43.71329365079365,8.0,0.0,1.0,0,0,133376.11,0
Male,53.0,4.0,0.0,4.0,0,0,120262.07,0
Male,26.0,6.0,16386.89,4.0,0,0,138389.21,1
Female,54.0,5.0,33938.58,2.0,0,0,63179.03,1
Female,68.0,8.0,0.0,1.0,0,0,46725.38,1
Male,43.0,9.0,23739.19,1.0,0,0,139984.83,1
Male,44.0,2.0,183772.49,3.0,0,0,112545.08756194252,0
Male,42.0,7.0,0.0,4.0,0,0,121464.44,1
Male,43.0,2.0,0.0,1.0,0,0,39326.15,1
Male,45.0,8.0,0.0,4.0,0,0,117494.86,1
Female,36.0,1.0,8273.38,4.0,0,0,28542.12,0
Male,64.0,2.0,105353.66,1.0,0,0,92753.24,1
Male,18.0,8.0,0.0,3.0,0,0,55196.81,0
Male,50.0,7.0,195807.36,2.0,0,0,73037.98,1
